# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Oct 15 10:57:52 2024
#
# COLUMN pl_name:        Planet Name
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag [Jupiter mass]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag [Earth mass]
# COLUMN pl_orbsmax:     Planet-star Projected Semi-major Axis [au]
# COLUMN pl_orbsmaxerr1: Planet-star Projected Semi-major Axis Upper Unc.
# COLUMN pl_orbsmaxerr2: Planet-star Projected Semi-major Axis Lower Unc.
# COLUMN pl_orbsmaxlim:  Planet-star Projected Semi-major Axis Limit Flag
# COLUMN st_mass:        Lens Mass [Solar mass]
# COLUMN st_masserr1:    Lens Mass Upper Unc.
# COLUMN st_masserr2:    Lens Mass Lower Unc.
# COLUMN st_masslim:     Lens Mass Limit Flag
# COLUMN sy_dist:        Lens Distance [pc]
# COLUMN sy_disterr1:    Lens Distance Upper Unc.
# COLUMN sy_disterr2:    Lens Distance Lower Unc.
# COLUMN sy_distlim:     Lens Distance Limit Flag
# COLUMN ml_dists:       Source Distance [pc]
# COLUMN ml_distserr1:   Source Distance Upper Unc.
# COLUMN ml_distserr2:   Source Distance Lower Unc.
# COLUMN ml_distslim:    Source Distance Limit Flag
# COLUMN ml_tsepmin:     Time of Lens-source Minimum Separation [days]
# COLUMN ml_tsepminerr1: Time of Lens-source Minimum Separation Upper Unc.
# COLUMN ml_tsepminerr2: Time of Lens-source Minimum Separation Lower Unc.
# COLUMN ml_tsepminlim:  Time of Lens-source Minimum Separation Limit Flag
# COLUMN ml_sepminnorm:  Normalized Lens-source Minimum Separation
# COLUMN ml_sepminnormerr1: Normalized Lens-source Minimum Separation Upper Unc.
# COLUMN ml_sepminnormerr2: Normalized Lens-source Minimum Separation Lower Unc.
# COLUMN ml_sepminnormlim: Normalized Lens-source Minimum Separation Limit Flag
# COLUMN ml_xtimeein:    Einstein Crossing Time [days]
# COLUMN ml_xtimeeinerr1: Einstein Crossing Time Upper Unc.
# COLUMN ml_xtimeeinerr2: Einstein Crossing Time Lower Unc.
# COLUMN ml_xtimeeinlim: Einstein Crossing Time Limit Flag
# COLUMN ml_radsnorm:    Normalized Source Angular Radius (10^-3)
# COLUMN ml_radsnormerr1: Normalized Angular Radius Upper Unc.
# COLUMN ml_radsnormerr2: Normalized Angular Radius Lower Unc.
# COLUMN ml_radsnormlim: Normalized Angular Radius Limit Flag
# COLUMN ml_sepinsnorp:  Instantaneous Planet-star Projected and Normalized Separation
# COLUMN ml_sepinsnorperr1: Instantaneous Planet-star Projected and Normalized Separation Upper Unc.
# COLUMN ml_sepinsnorperr2: Instantaneous Planet-star Projected and Normalized Separation Lower Unc.
# COLUMN ml_sepinsnorplim: Instantaneous Planet-star Projected and Normalized Separation Limit Flag
# COLUMN ml_massratio:   Planet-star Mass Ratio (10^-4)
# COLUMN ml_massratioerr1: Planet-star Mass Ratio Upper Unc.
# COLUMN ml_massratioerr2: Planet-star Mass Ratio Lower Unc.
# COLUMN ml_massratiolim: Planet-star Mass Ratio Limit Flag
# COLUMN ml_angstlax:    Source Trajectory-lens Axis Angle [rad]
# COLUMN ml_angstlaxerr1: Source Trajectory-lens Axis Angle Upper Unc.
# COLUMN ml_angstlaxerr2: Source Trajectory-lens Axis Angle Lower Unc.
# COLUMN ml_angstlaxlim: Source Trajectory-lens Axis Angle Limit Flag
# COLUMN ml_magis:       Source I-band [mag]
# COLUMN ml_magiserr1:   Source I-band Upper Unc.
# COLUMN ml_magiserr2:   Source I-band Lower Unc.
# COLUMN ml_magislim:    Source I-band Limit Flag
# COLUMN ml_magibl:      Blend I-band [mag]
# COLUMN ml_magiblerr1:  Blend I-band Upper Unc.
# COLUMN ml_magiblerr2:  Blend I-band Lower Unc.
# COLUMN ml_magibllim:   Blend I-band Limit Flag
# COLUMN ml_radeinang:   Angular Einstein Radius [mas]
# COLUMN ml_radeinangerr1: Angular Einstein Radius Upper Unc.
# COLUMN ml_radeinangerr2: Angular Einstein Radius Lower Unc.
# COLUMN ml_radeinanglim: Angular Einstein Radius Limit Flag
# COLUMN ml_pmrells:     Lens-source Relative Proper Motion [mas/yr]
# COLUMN ml_pmrellserr1: Lens-source Relative Proper Motion Upper Unc.
# COLUMN ml_pmrellserr2: Lens-source Relative Proper Motion Lower Unc.
# COLUMN ml_pmrellslim:  Lens-source Relative Proper Motion Limit Flag
# COLUMN ml_modeldef:    Default Model
# COLUMN htmllink:       Reference
#
pl_name,rastr,ra,decstr,dec,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2,sy_distlim,ml_dists,ml_distserr1,ml_distserr2,ml_distslim,ml_tsepmin,ml_tsepminerr1,ml_tsepminerr2,ml_tsepminlim,ml_sepminnorm,ml_sepminnormerr1,ml_sepminnormerr2,ml_sepminnormlim,ml_xtimeein,ml_xtimeeinerr1,ml_xtimeeinerr2,ml_xtimeeinlim,ml_radsnorm,ml_radsnormerr1,ml_radsnormerr2,ml_radsnormlim,ml_sepinsnorp,ml_sepinsnorperr1,ml_sepinsnorperr2,ml_sepinsnorplim,ml_massratio,ml_massratioerr1,ml_massratioerr2,ml_massratiolim,ml_angstlax,ml_angstlaxerr1,ml_angstlaxerr2,ml_angstlaxlim,ml_magis,ml_magiserr1,ml_magiserr2,ml_magislim,ml_magibl,ml_magiblerr1,ml_magiblerr2,ml_magibllim,ml_radeinang,ml_radeinangerr1,ml_radeinangerr2,ml_radeinanglim,ml_pmrells,ml_pmrellserr1,ml_pmrellserr2,ml_pmrellslim,ml_modeldef,htmllink
KMT-2019-BLG-1953L b,17h56m27.90s,269.116250,-28d12m04.00s,-28.201111,,,,0,,,,0,,,,0,,,,,,,,,8000.00000000,,,0,2458702.01200000,0.00100000,-0.00100000,0,0.00236000,0.00025000,-0.00025000,0,16.18000000,0.24000000,-0.24000000,0,2.40000000,0.04000000,-0.04000000,0,2.30000000,0.36000000,-0.36000000,0,19.10000000,9.20000000,-9.20000000,0,2.50000000,0.02900000,-0.02900000,0,20.68000000,0.01000000,-0.01000000,0,,,,,0.25000000,0.02000000,-0.02000000,0,5.70000000,0.46000000,-0.46000000,0,0,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...17H/abstract target=ref>Han et al. 2020</a>
MOA-2013-BLG-605L b,17h58m42.85s,272.019257,-29d23m53.66s,-29.731583,0.06475000,0.00180000,-0.02100000,0,20.58000000,0.56000000,-6.66000000,0,4.18000000,0.23000000,-0.96000000,0,0.19800000,0.00700000,-0.06500000,0,3550.00000000,200.00000000,-780.00000000,0,,,,,2456573.05400000,0.00900000,-0.00900000,0,-0.07960000,0.00147000,-0.00147000,0,19.83000000,0.23000000,-0.23000000,0,3.72000000,0.08000000,-0.08000000,0,2.34400000,0.01200000,-0.01200000,0,3.12400000,0.12000000,-0.12000000,0,3.15680000,0.00580000,-0.00580000,0,18.11200000,0.01800000,-0.01800000,0,18.58800000,0.02800000,-0.02800000,0,0.50300000,0.03400000,-0.03400000,0,9.03000000,0.63000000,-0.63000000,0,0,<a refstr=SUMI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...825..112S/abstract target=ref>Sumi et al. 2016</a>
KMT-2019-BLG-1953L b,17h56m27.90s,269.116250,-28d12m04.00s,-28.201111,,,,0,,,,0,,,,0,,,,,,,,,8000.00000000,,,0,2458702.01500000,0.00200000,-0.00200000,0,0.00104000,0.00024000,-0.00024000,0,16.02000000,0.26000000,-0.26000000,0,2.41000000,0.04000000,-0.04000000,0,0.41000000,0.10000000,-0.10000000,0,18.20000000,19.20000000,-19.20000000,0,2.43300000,0.07000000,-0.07000000,0,20.68000000,0.01000000,-0.01000000,0,,,,,0.25000000,0.02000000,-0.02000000,0,5.70000000,0.46000000,-0.46000000,0,0,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...17H/abstract target=ref>Han et al. 2020</a>
OGLE-2005-BLG-390L b,17h54m19.2s,268.579958,-30d22m38s,-30.377306,0.01700000,0.01700000,-0.00900000,0,5.50000000,5.50000000,-2.70000000,0,2.60000000,1.50000000,-0.60000000,0,0.22000000,0.21000000,-0.11000000,0,6600.00000000,1000.00000000,-1000.00000000,0,8000.00000000,1910.00000000,-1910.00000000,0,2453582.73500000,0.00500000,-0.00500000,0,0.35900000,0.00500000,-0.00500000,0,11.03000000,0.11000000,-0.11000000,0,,,,,1.61000000,0.00800000,-0.00800000,0,0.76000000,0.07000000,-0.07000000,0,2.75600000,0.00300000,-0.00300000,0,,,,,,,,,,,,,,,,,1,<a refstr=BEAULIEU_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.439..437B/abstract target=ref> Beaulieu et al. 2006 </a>
OGLE-2012-BLG-0950L b,18h08m04.62s,272.019257,-29d43m53.7s,-29.731583,0.11000000,0.03000000,-0.02000000,0,36.00000000,8.00000000,-6.00000000,0,2.70000000,0.10000000,-0.40000000,0,0.55000000,0.03000000,-0.09000000,0,3400.00000000,400.00000000,-900.00000000,0,,,,,2456151.48000000,0.03000000,-0.03000000,0,-0.10000000,0.00300000,-0.00300000,0,68.50000000,1.60000000,-1.60000000,0,3.00000000,,,1,0.89300000,0.00600000,-0.00600000,0,1.90000000,0.50000000,-0.20000000,0,1.19500000,0.00400000,-0.00700000,0,19.30000000,0.03000000,-0.03000000,0,,,,,0.86000000,0.15000000,-0.06000000,0,4.60000000,0.90000000,-0.30000000,0,0,<a refstr=KOSHIMOTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153....1K/abstract target=ref>Koshimoto et al. 2017</a>
OGLE-2016-BLG-1067L b,18h12m49.08s,273.204500,-27d00m45.5s,-27.012639,0.43000000,0.22000000,-0.18000000,0,140.00000000,70.00000000,-57.00000000,0,1.71000000,0.39000000,-0.42000000,0,0.31000000,0.16000000,-0.13000000,0,3780.00000000,680.00000000,-700.00000000,0,7660.00000000,,,0,2457564.31200000,0.06300000,-0.06300000,0,-0.44200000,0.02900000,-0.03100000,0,27.60000000,1.30000000,-1.20000000,0,4.80000000,,,1,0.78500000,0.01000000,-0.01100000,0,13.17000000,0.33000000,-0.31000000,0,1.43000000,0.00600000,-0.00600000,0,18.80000000,,,0,,,,,,,,,,,,,0,<a refstr=CALCHI_NOVATI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..121C/abstract target=ref>Calchi Novati et al. 2019</a>
OGLE-2005-BLG-071L b,17h50m09.77s,267.540708,-34d40m23.5s,-34.673194,3.80000000,0.30000000,-0.40000000,0,1200.00000000,100.00000000,-100.00000000,0,3.60000000,0.20000000,-0.20000000,0,0.46000000,0.04000000,-0.04000000,0,3200.00000000,400.00000000,-400.00000000,0,8600.00000000,,,0,2453480.70150000,0.00500000,-0.00590000,0,0.02870000,0.00070000,-0.00070000,0,69.30000000,1.60000000,-1.70000000,0,0.61000000,0.04000000,-0.04000000,0,1.30500000,0.00300000,-0.00500000,0,77.00000000,2.00000000,-2.00000000,0,4.77600000,0.00300000,-0.00200000,0,19.49000000,0.03000000,-0.03000000,0,21.40000000,0.19000000,-0.19000000,0,0.84000000,0.06000000,-0.04000000,0,,,,,0,<a refstr=DONG_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...695..970D/abstract target=ref>Dong et al. 2009</a>
OGLE-2018-BLG-0740L b,18h08m42.47s,272.176958,-29d50m08.9s,-29.835806,1.10000000,0.70000000,-0.60000000,0,350.00000000,200.00000000,-200.00000000,0,1.50000000,0.20000000,-0.20000000,0,0.47000000,0.31000000,-0.24000000,0,7200.00000000,900.00000000,-1000.00000000,0,8000.00000000,,,0,2458254.34700000,0.03100000,-0.03100000,0,0.03800000,0.00300000,-0.00300000,0,62.63000000,4.37000000,-4.37000000,0,0.99000000,0.10000000,-0.10000000,0,0.91000000,0.01000000,-0.01000000,0,23.00000000,1.80000000,-1.80000000,0,2.52000000,0.00900000,-0.00900000,0,21.54000000,0.01000000,-0.01000000,0,17.13000000,,,0,0.28000000,0.04000000,-0.04000000,0,1.65000000,0.23000000,-0.23000000,0,0,<a refstr=HAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..102H/abstract target=ref>Han et al. 2019</a>
OGLE-2016-BLG-1190L b,17h58m52.30s,269.717926,-27d36m48.8s,-27.613556,13.38000000,0.88000000,-0.82000000,0,4253.00000000,280.00000000,-260.00000000,0,2.17000000,1.87000000,-0.38000000,0,0.88000000,0.06000000,-0.05000000,0,6770.00000000,80.00000000,-90.00000000,0,8700.00000000,,,0,2457582.15700000,0.00700000,-0.00700000,0,-0.01797000,0.00023000,-0.00023000,0,93.53200000,0.89100000,-0.89100000,0,0.93000000,0.04400000,-0.04400000,0,0.60400000,0.00200000,-0.00200000,0,144.60000000,1.90000000,-1.90000000,0,0.03800000,0.00500000,-0.00500000,0,,,,,,,,,0.49000000,0.04000000,-0.04000000,0,,,,,1,<a refstr=RYU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...40R/abstract target=ref>Ryu et al. 2018</a>
OGLE-2017-BLG-0373L b,17h57m19.06s,269.329407,-31d57m06.2s,-31.951723,0.18900000,0.27000000,-0.11600000,0,60.10000000,85.80000000,-36.90000000,0,2.57500000,0.85000000,-0.87800000,0,0.27600000,0.29600000,-0.14800000,0,5810.00000000,1133.00000000,-1523.00000000,0,,,,,2457840.63600000,0.05400000,-0.05400000,0,0.37100000,0.01500000,-0.01500000,0,12.84900000,0.34900000,-0.34900000,0,2.46600000,0.20100000,-0.20100000,0,1.34900000,0.01100000,-0.01100000,0,6.51000000,1.13000000,-1.13000000,0,2.46500000,0.01100000,-0.01100000,0,,,,,,,,,0.31700000,0.03500000,-0.03500000,0,8.91000000,0.09800000,-0.09800000,0,0,<a refstr=SKOWRON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AcA....68...43S/abstract target=ref>Skowron et al. 2018</a>
