name_clean,orbital_period,semi_major_axis,DL,star_mass,mass,method
TRAPPISTb,1.51,0.012,12.1,0.9,1.017,Transit
TRAPPISTc,2.42,0.016,12.1,0.9,1.156,Transit
TRAPPISTd,4.05,0.023,12.1,0.9,0.297,Transit
TRAPPISTe,6.1,0.029,12.1,0.9,0.772,Transit
TRAPPISTf,9.21,0.038,12.1,0.9,0.934,Transit
TRAPPISTg,12.35,0.047,12.1,0.9,1.148,Transit
TRAPPISTh,18.77,0.062,12.1,0.9,0.773,Transit
k2155b,6.342,0.0562,82.0,0.65,0.0148,Transit
lp79118c,4.989963,0.029392,26.493,0.139,0.0223,Transit
toi1173ab,7.06387,0.07,132.35,0.91,0.0821,Transit
toi1181b,2.103195,,,1.38,1.18,Transit
psrj19531846ab,0.1766,0.00694,4000.0,1.4,32.0,Timing
hd13189b,471.6,1.85,185.0,4.5,14.0,Radial Velocity
hats70b,1.8882378,0.03632,1307.0,1.78,12.9,Transit
kepler405b,10.613839,0.095,1096.92,,,Transit
ctchab,,440.0,165.0,,17.0,Imaging
hr2562b,30498.0,21.2,33.63,1.3,10.28,Imaging
wisej18101010,,,8.9,,17.0,Imaging
xo1b,3.9415128,0.0488,200.0,1.0,0.9,Transit
kmt2017blg2509b,,2.14,7040.0,0.46,2.09,Microlensing
hd22946c,9.573083,0.1017,62.87,1.104,0.0208,Transit
hd217107b,7.126853,0.0746,19.72,1.02,1.394,Radial Velocity
hats36b,4.175186,0.0523,878.65,1.1,2.79,Transit
kepler1104b,5.03728015,,516.0,1.3,,Transit
toi1184b,5.748432,0.056,58.59,0.71,0.0214,Transit
hip56640b,2675.6,4.55,122.76,1.04,6.77,Radial Velocity
toi530b,6.387597,0.052,147.7,0.53,0.4,Transit
kepler647c,29.6663,,789.0,1.03,,Transit
hatp1bb,4.46529976,0.05561,139.0,1.151,0.525,Transit
k253b,12.20772,0.098,139.1,0.85,0.0289,Transit
kepler341b,5.195528,0.06,1079.46,0.94,,Transit
hatp12b,3.2130598,0.0384,142.5,0.73,0.210489884529,Transit
toi1221b,91.68278,0.39,,1.03,3.5,Transit
kepler60c,8.9187,0.08701,1056.17,1.04,0.01211,Transit
kepler148b,1.729366,0.028,809.42,,,Transit
hd16175b,995.4,2.148,59.8,1.35,4.77,Radial Velocity
2massj08561342,,,35.8,,14.4,Imaging
sdssj12050242b,0.04946525,0.002,720.0,0.39,49.0,Transit
kic3853259b,325.7,1.06,452.176,0.736,10.0,Timing
kepler139b,15.771044,0.127,395.45,1.08,,Transit
kepler304b,3.295709,0.039,440.12,0.8,,Transit
luytensstard,413.9,0.712,3.8,0.29,0.03448,Radial Velocity
toi5301b,5.858858,0.0726,,,3.65,Transit
kepler1646b,4.48558383,,81.0,0.24,,Transit
cwisej16061032b,,640.0,40.63,0.1,60.0,Imaging
kepler1886ab,24.2758007,0.16,1059.51,0.99,,Transit
ogle2018blg1367b,,1.21,5370.0,0.28,0.95,Microlensing
lp8130b,,1512.0,27.34,,45.0,Imaging
kepler1747b,6.230319977,0.066,1321.38,0.88,,Transit
qatar3ab,2.5079204,0.03783,735.601,1.19,4.31,Transit
kepler1723b,39.75289917,0.2249,811.278,1.01,,Transit
toi2194b,15.337597,,19.5711,0.74,0.0145456,Transit
kepler753b,5.74772501,,278.0,0.68,,Transit
toi1467b,5.97199,0.0495,34.44,0.49,0.028,Transit
kepler1773b,40.80970001,0.2489,681.255,1.16,,Transit
kepler1491b,16.5861762,,1312.0,1.0,,Transit
2massj110119267732383a,,,168.0,,50.0,Imaging
kepler603d,6.2171292,,967.0,1.01,,Transit
gj9404b,13.4586,0.0943,23.884,0.609,0.0374,Radial Velocity
kepler45b,2.455239,0.03,333.0,0.59,0.505,Transit
toi1470b,2.527093,0.0285,51.9503,0.471,0.02303,Transit
2massj16575343b,901915.0,165.0,50.5462,0.49,30.0,Imaging
hd99706c,1123.0,,129.0,1.72,5.69,Radial Velocity
hd95127b,482.0,1.28,300.0,1.2,5.01,Radial Velocity
kepler233c,60.418955,0.287,877.73,,,Transit
kepler1939ab,2.790659904,0.0334,189.833,0.6417,,Transit
ogle2016blg1469l,,,4500.0,,48.0,Microlensing
kepler279b,12.309681,0.112,1069.2,1.23,,Transit
kepler175c,34.035257,0.213,1363.39,1.04,,Transit
ogle2017blg0448b,,5.53,7790.0,0.32,7.3,Microlensing
k2268c,9.326841,0.0819,331.46,0.84,,Transit
kepler1055b,2.29503623,,422.0,0.98,,Transit
kepler223d,14.78869,0.116,1960.49,1.12,0.02517,Transit
koi6672b,2.28494299,0.0321,,0.84,,Transit
kepler1048b,6.92101021,,415.0,0.75,,Transit
koi6532b,0.813998777,0.0168,,0.945,,Transit
kepler187c,10.640263,0.099,1180.86,0.85,,Transit
kepler46d,6.766589,0.067,794.54,0.902,,Transit
toi1798b,8.02154,0.074,113.18,0.87,0.0205,Transit
kepler838b,15.74957994,,1210.0,0.98,,Transit
kmt2021blg1105b,,3.54,4540.0,0.63,1.3,Microlensing
mhotau4,,,125.0,,55.0,Imaging
kepler1953b,6.245659828,0.0607,605.631,0.73,,Transit
