name_clean,orbital_period,semi_major_axis,DL,star_mass,mass,method,M_lens,pi_rel,theta_E,te,thetas,s,q,u0,rho,piEE,piEN,r_s,a_s,v_para,v_perp,v_radial,DS,t0,W149,u,g,r,i,z,Y,alpha
TRAPPISTb,1.51,0.012,12.1,0.9,1.017,Transit,0.9009708223359467,0.08248370116000393,24.601093054354525,157.09164199600994,0.00018632816341130728,0.04031266151462892,0.001078691484385337,24.765789501626184,7.573979050427851e-06,-3.779484806775942e-12,1.147602487283695e-11,49.61220432628163,1,3480.578463347058,-70406.21187881891,-67029.97328012773,6214.0,2461638.763828608,24.7998,30.414,27.618,26.347,25.469,25.034,24.836,3.141592653589793
TRAPPISTc,2.42,0.016,12.1,0.9,1.156,Transit,0.9011035109344686,0.08251704453193702,24.607876785556183,71.97227294869545,0.00015486186780665171,0.053735397861018275,0.0012261232605205994,18.555971421215844,6.293182835568703e-06,2.2309500339060513e-11,2.1578900807680792e-11,37.219413638153725,1,-34642.792773358684,-9156.82071837533,-24279.70811244623,7838.0,2461638.763828608,24.1108,30.014,27.158,25.882,24.877,24.38,24.163,3.141592653589793
TRAPPISTd,4.05,0.023,12.1,0.9,0.297,Transit,0.9002835144874889,0.08251207242579074,24.59593670530081,157.91985729046138,0.001032875729378371,0.0772821327789209,0.0003150160972098772,12.862319351314115,4.199375456824013e-05,8.80557768198881e-12,5.604248817990162e-12,25.87920296818607,1,12476.60052913625,-6510.216557875272,10054.191437526884,7544.0,2461638.763828608,18.1178,18.444,17.4,17.361,17.446,17.542,17.568,3.141592653589793
TRAPPISTe,6.1,0.029,12.1,0.9,0.772,Transit,0.9007369467486243,0.08248751890828589,24.598469098506175,77.07080576096737,0.0010241211711490377,0.09743265750719342,0.0008188297206936875,10.166066518076418,4.1633532844986314e-05,-5.053010610102365e-12,6.040625389821388e-12,20.526998351167222,1,4837.385005364204,4309.565056269257,4010.601152337729,6365.0,2461638.763828608,19.4048,20.504,19.285,18.974,18.936,18.971,18.982,3.141592653589793
TRAPPISTf,9.21,0.038,12.1,0.9,0.934,Transit,0.9008915910145273,0.07809917355371901,23.937261047314447,66.18309442548589,0.009947800598673529,0.1311969594834214,0.0009906566828081663,7.490930900319338,0.0004155780637981381,8.272196936907898e-12,9.030315219881295e-12,15.244255719605519,1,-398.3340893515664,-325.3381949793776,-871.3634888427911,220.0,2461638.763828608,22.2238,29.106,26.01,24.651,23.279,22.606,22.313,3.141592653589793
TRAPPISTg,12.35,0.047,12.1,0.9,1.148,Transit,0.9010958741805968,0.08251617594760002,24.607642998273107,156.39226394618547,0.00021973090036393167,0.1578492308643191,0.001217637978440872,6.177309924010246,8.929376144612946e-06,1.833976665560544e-11,2.2174348602540752e-11,12.670318309749131,1,-283.5642089187903,920.9395046978439,91.48914243620258,7785.0,2461638.763828608,23.8958,31.55,28.231,26.82,25.178,24.379,24.024,3.141592653589793
TRAPPISTh,18.77,0.062,12.1,0.9,0.773,Transit,0.9007379013428584,0.08249082926804467,24.598975716953124,114.66495978097525,0.0002996420688930059,0.2083000122081272,0.0008198903809536536,4.592467829326273,1.2181079096171415e-05,-1.3617606588463346e-11,3.4541332668334468e-12,9.6015356830688,1,369.87461742318015,-558.6863782014158,-650.7656619850103,6502.0,2461638.763828608,22.2678,29.455,26.271,24.891,23.412,22.69,22.373,3.141592653589793
corot3ab,4.2567994,0.057,768.771,1.36,21.66,Transit,1.3806765111077755,0.0007112949599110197,2.8280416693827712,0.42103989208957415,0.0018190840247978416,0.04055390343582414,0.015203316991011453,24.617984862936762,0.000643230983649142,-4.1803354956659246e-13,1.6131345716618182e-12,49.317077532745174,1,-431.63157654777245,10088.117471958538,-14627.931192537584,497.0,2461638.763828608,22.0588,28.318,25.373,24.065,22.925,22.364,22.12,3.141592653589793
hd34445c,214.67,0.7181,46.5,1.07,0.168,Radial Velocity,1.0701603718313069,0.021264121820563708,13.613291013916907,50.9847702878713,0.0003678114267568283,1.1344068628886825,0.00014988021617462298,-0.25288892367807647,2.7018553146393006e-05,-1.0324180178554977e-11,1.7865713221554552e-12,1.7630358784212121,1,-13.968420714644424,-6.824026748088533,-7.956381294958801,4145.0,2461638.763828608,24.1258,29.638,26.988,25.792,24.847,24.388,24.173,3.141592653589793
rhocrbb,39.8438,0.2245,17.43,0.99,1.04,Radial Velocity,0.990992778003328,0.057117309548610884,21.470100937838396,80.83689003506326,0.0004696268402528427,0.5999083019239503,0.0010028060639677757,1.0670131205549955,2.1873527358466373e-05,7.293369510070935e-12,1.762299493307494e-11,3.3338428449578914,1,157.34288707687858,-123.93984376205066,-109.57209909299048,3921.0,2461638.763828608,24.2188,29.143,26.632,25.448,24.76,24.414,24.239,3.141592653589793
marvels13b,147.6,0.54,212.63,0.96,41.8,Radial Velocity,0.9999020389799177,0.004572796887002461,6.102174925822716,26.959009449562814,0.00024142849779584656,0.4161832215321045,0.041564623937414356,1.9866046571302736,3.956433578693196e-05,-4.11492958660864e-12,9.302176632368494e-13,4.805575757324756,1,62.49604345092557,42.552629025178035,-24.51712156106815,7680.0,2461638.763828608,23.6678,30.757,27.602,26.227,24.784,24.077,23.767,3.141592653589793
muleob,357.8,1.1,38.05,1.5,2.4,Radial Velocity,1.5022910261615263,0.02590876945702631,17.80391040480231,120.05177803563411,0.0004001340060121313,1.6237629358870695,0.0015273507743509198,-1.0079094896118623,2.247450121430637e-05,2.866582221857057e-12,2.7559601723467313e-12,1.2317068925504142,1,-6.197913492663009,-3.560922184762985,-7.052026194357478,2685.0,2461638.763828608,24.2518,30.161,27.294,26.012,25.012,24.519,24.302,3.141592653589793
